1,1,1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
1.00001,1.00001,1.00001,0.100052,0.100657,0.100649,0.100001,0.100001,0.100001,0.100125,0.100125,0.100125,0.100125,0.100125,0.100125
1.00003,1.00003,1.00003,0.100118,0.10255,0.10252,0.100003,0.100003,0.100003,0.10025,0.10025,0.10025,0.10025,0.10025,0.10025
1.00004,1.00004,1.00004,0.100175,0.105593,0.105552,0.100006,0.100006,0.100006,0.100375,0.100375,0.100375,0.100375,0.100375,0.100375
1.00006,1.00006,1.00006,0.100238,0.110027,0.10997,0.10001,0.10001,0.10001,0.1005,0.1005,0.1005,0.1005,0.1005,0.1005
1.00007,1.00007,1.00007,0.100318,0.115598,0.115508,0.100016,0.100016,0.100016,0.100625,0.100625,0.100625,0.100625,0.100625,0.100625
1.00009,1.00009,1.00009,0.100402,0.122299,0.122175,0.100023,0.100024,0.100024,0.10075,0.10075,0.10075,0.10075,0.10075,0.10075
1.00011,1.00011,1.00011,0.1005,0.130382,0.130212,0.100031,0.100033,0.100033,0.100875,0.100875,0.100875,0.100875,0.100875,0.100875
1.00013,1.00013,1.00013,0.100597,0.139368,0.139153,0.10004,0.100044,0.100044,0.101,0.101,0.101,0.101,0.101,0.101
1.00015,1.00015,1.00015,0.100712,0.14977,0.149495,0.100051,0.100057,0.100057,0.101125,0.101125,0.101125,0.101125,0.101125,0.101125
1.00018,1.00018,1.00018,0.100852,0.161281,0.160921,0.100063,0.100072,0.100072,0.10125,0.10125,0.10125,0.10125,0.10125,0.10125
1.0002,1.0002,1.0002,0.101009,0.174204,0.173742,0.100076,0.10009,0.10009,0.101375,0.101375,0.101375,0.101375,0.101375,0.101375
1.00023,1.00023,1.00023,0.101139,0.187999,0.18746,0.10009,0.10011,0.10011,0.1015,0.1015,0.1015,0.1015,0.1015,0.1015
1.00025,1.00025,1.00025,0.101278,0.203205,0.202586,0.100106,0.100133,0.100133,0.101625,0.101625,0.101625,0.101625,0.101625,0.101625
1.00028,1.00028,1.00028,0.101453,0.219196,0.218461,0.100123,0.100159,0.100159,0.10175,0.10175,0.10175,0.10175,0.10175,0.10175
1.00031,1.00031,1.00031,0.101651,0.236835,0.235963,0.100141,0.100189,0.100189,0.101875,0.101875,0.101875,0.101875,0.101875,0.101875
